id,object_name,chain,object_type,address,number,street,district
151635,СМЕТАНА,False,кафе,"город Москва, улица Егора Абакумова, дом 9",48,улица Егора Абакумова,Ярославский
77874,Родник,False,кафе,"город Москва, улица Талалихина, дом 2/1, корпус 1",35,улица Талалихина,Таганский
24309,Кафе «Академия»,False,кафе,"город Москва, Абельмановская улица, дом 6",95,Абельмановская улица,Таганский
21894,ПИЦЦЕТОРИЯ,True,кафе,"город Москва, Абрамцевская улица, дом 1",40,Абрамцевская улица,Лианозово
119365,Кафе «Вишневая метель»,False,кафе,"город Москва, Абрамцевская улица, дом 9, корпус 1",50,Абрамцевская улица,Лианозово
27429,СТОЛ. ПРИ ГОУ СОШ № 1051,False,столовая,"город Москва, Абрамцевская улица, дом 15, корпус 1",240,Абрамцевская улица,Лианозово
148815,Брусника,True,кафе,"город Москва, переулок Сивцев Вражек, дом 6/2",10,переулок Сивцев Вражек,Арбат
20957,Буфет МТУСИ,False,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",90,Авиамоторная улица,Лефортово
20958,КПФ СЕМЬЯ-1,False,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",150,Авиамоторная улица,Лефортово
28858,Столовая МТУСИ,False,столовая,"город Москва, Авиамоторная улица, дом 8, строение 1",120,Авиамоторная улица,Лефортово
148595,Пекарня 24,False,закусочная,"город Москва, Авиамоторная улица, дом 47",5,Авиамоторная улица,Лефортово
23394,Гогиели,False,кафе,"город Москва, Авиамоторная улица, дом 49/1",24,Авиамоторная улица,Лефортово
28582,ШКОЛА 735,False,столовая,"город Москва, Авиамоторная улица, дом 51",140,Авиамоторная улица,Лефортово
22579,Алло Пицца,True,кафе,"город Москва, улица Авиаторов, дом 14",32,улица Авиаторов,Солнцево
23670,Гимназия 1542,False,столовая,"город Москва, улица Авиаторов, дом 16",270,улица Авиаторов,Солнцево
23663,Школа 1011,False,столовая,"город Москва, улица Авиаторов, дом 18",320,улица Авиаторов,Солнцево
144107,Суши Wok,True,фастфуд,"город Москва, Азовская улица, дом 3",7,Азовская улица,Зюзино
154654,Донер Кебаб,False,фастфуд,"город Москва, Азовская улица, дом 4",2,Азовская улица,Зюзино
58565,Тануки,True,ресторан,"город Москва, Большая Академическая улица, дом 65",160,Большая Академическая улица,Коптево
153644,Американская Лаборатория Десертов,False,кафе,"город Москва, Филипповский переулок, дом 15/5",20,Филипповский переулок,Арбат
21950,Кафе,False,кафе,"город Москва, Алтайская улица, дом 33/7",30,Алтайская улица,Гольяново
84832,КАФЕ УЮТ,False,кафе,"город Москва, Алтуфьевское шоссе, дом 14",110,Алтуфьевское шоссе,Отрадное
26931,Долина Чайхона,False,кафе,"город Москва, Алтуфьевское шоссе, дом 14",150,Алтуфьевское шоссе,Отрадное
28751,ГБОУ Школа № 1411 (970),False,столовая,"город Москва, Алтуфьевское шоссе, дом 42Б",120,Алтуфьевское шоссе,Отрадное
125608,Кафетерий,False,кафетерий,"город Москва, Алтуфьевское шоссе, дом 56",6,Алтуфьевское шоссе,Алтуфьевский
81554,Домино'с Пицца,True,кафе,"город Москва, Алтуфьевское шоссе, дом 56",24,Алтуфьевское шоссе,Алтуфьевский
21304,РАХИМКУЛОВА Т.Х.,False,буфет,"город Москва, Алтуфьевское шоссе, дом 102Б",20,Алтуфьевское шоссе,Бибирево
29223,СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ,False,столовая,"город Москва, улица Амундсена, дом 10",192,улица Амундсена,Свиблово
27439,ШКОЛА 1444,False,столовая,"город Москва, Анадырский проезд, дом 55",240,Анадырский проезд,Лосиноостровский
22767,Мархал,False,кафе,"город Москва, Ангарская улица, дом 1, корпус 2",120,Ангарская улица,Западное Дегунино
24387,Готика,True,ресторан,"город Москва, Ангарская улица, дом 39",65,Ангарская улица,Дмитровский
29006,Гимназия № 1527,False,столовая,"город Москва, проспект Андропова, дом 17, корпус 2",240,проспект Андропова,Нагатинский Затон
70791,Кафе «Хинкальная»,False,кафе,"город Москва, проспект Андропова, дом 26",45,проспект Андропова,Нагатино-Садовники
69243,Суши Wok,True,кафе,"город Москва, проспект Андропова, дом 30",4,проспект Андропова,Нагатино-Садовники
25711,Рыба & мясо на углях,False,кафе,"город Москва, проспект Андропова, дом 35А",45,проспект Андропова,Нагатинский Затон
21157,Кларом,False,столовая,"город Москва, проспект Андропова, дом 38, корпус 2",24,проспект Андропова,Нагатино-Садовники
127979,Месопотамия,False,ресторан,"город Москва, улица Арбат, дом 4, строение 1",50,улица Арбат,Арбат
24968,Му-Му,True,кафе,"город Москва, улица Арбат, дом 4, строение 1",125,улица Арбат,Арбат
127980,Хлеб насущный,True,кафе,"город Москва, улица Арбат, дом 6/2",20,улица Арбат,Арбат
