id,district
151635,Ярославский
77874,Таганский
24309,Таганский
21894,Лианозово
119365,Лианозово
27429,Лианозово
148815,Арбат
20957,Лефортово
20958,Лефортово
28858,Лефортово
148595,Лефортово
23394,Лефортово
28582,Лефортово
22579,Солнцево
23670,Солнцево
23663,Солнцево
144107,Зюзино
154654,Зюзино
58565,Коптево
153644,Арбат
21950,Гольяново
84832,Отрадное
26931,Отрадное
28751,Отрадное
125608,Алтуфьевский
81554,Алтуфьевский
21304,Бибирево
29223,Свиблово
27439,Лосиноостровский
22767,Западное Дегунино
24387,Дмитровский
29006,Нагатинский Затон
70791,Нагатино-Садовники
69243,Нагатино-Садовники
25711,Нагатинский Затон
21157,Нагатино-Садовники
127979,Арбат
24968,Арбат
127980,Арбат
88194,Арбат
107496,Арбат
110269,Арбат
74969,Арбат
74970,Арбат
74979,Арбат
21723,Арбат
24967,Арбат
24973,Арбат
21720,Арбат
140165,Арбат
127855,Арбат
152754,Арбат
76932,Арбат
21998,Арбат
27311,Арбат
24970,Арбат
73570,Арбат
20050,Фили-Давыдково
21687,Мещанский
21065,Мещанский
27395,Южное Тушино
21214,Сокольники
21483,Академический
23843,Академический
27474,Гольяново
25274,Гольяново
124164,Царицыно
27265,Зюзино
139766,Зюзино
22139,Аэропорт
53084,Филёвский Парк
59265,Басманный
21830,Басманный
22366,Басманный
143094,Замоскворечье
22804,Савёловский
22805,Савёловский
28443,Савёловский
69176,Беговой
155857,Беговой
27201,Беговой
25833,Хорошёво-Мнёвники
26239,Люблино
28880,Люблино
23993,Дорогомилово
20422,Дорогомилово
69160,Щукино
20344,Бескудниковский
24363,Бескудниковский
28754,Отрадное
115311,Алтуфьевский
25933,Щукино
27841,Щукино
152892,Щукино
22293,Щукино
127674,Щукино
142568,Щукино
125817,Щукино
129397,Щукино
22292,Щукино
58827,Щукино
69377,Щукино
69159,Щукино
24437,Богородское
29364,Зюзино
24616,Северное Бутово
28731,Марфино
24656,Беговой
22284,Щукино
21616,Щукино
24779,Останкинский
76961,Тверской
72564,Пресненский
28608,Басманный
28613,Басманный
28614,Басманный
25796,Пресненский
129113,Тверской
136815,Тверской
150625,Тверской
26075,Тверской
138699,Пресненский
138703,Пресненский
102832,Пресненский
125205,Пресненский
81431,Пресненский
141006,Пресненский
24262,Пресненский
21790,Пресненский
45561,Пресненский
140349,Пресненский
150881,Ростокино
23261,Соколиная Гора
25768,Соколиная Гора
23594,Бирюлёво Западное
26298,Коньково
25608,Савёловский
115498,Савёловский
22801,Савёловский
27677,Савёловский
22996,Бутырский
26141,Савёловский
26142,Савёловский
137903,Гагаринский
26595,Ломоносовский
24606,Ломоносовский
142684,Замоскворечье
144250,Замоскворечье
27207,Замоскворечье
24109,Замоскворечье
24155,Мещанский
155973,Донской
23618,Донской
155852,Донской
152556,Нагорный
120658,Нагорный
26279,Чертаново Южное
149568,Щукино
27388,Щукино
22301,Щукино
158148,Пресненский
24269,Пресненский
27131,Даниловский
28501,Даниловский
128946,Соколиная Гора
141687,Гагаринский
148853,Ломоносовский
149149,Ломоносовский
128511,Ломоносовский
24875,Ломоносовский
143755,Ломоносовский
24604,Ломоносовский
23763,Проспект Вернадского
19716,Тропарёво-Никулино
69990,Тропарёво-Никулино
20147,Тропарёво-Никулино
19989,Тропарёво-Никулино
19761,Тропарёво-Никулино
19700,Тропарёво-Никулино
24646,Беговой
155529,Тверской
20632,Хамовники
27991,Ярославский
23169,Ярославский
23185,Вешняки
29549,Вешняки
20900,Северное Тушино
27372,Северное Тушино
80410,Перово
23229,Перово
126956,Перово
120580,Перово
21449,Перово
73331,Перово
77929,Перово
149531,Перово
149428,Перово
25814,Перово
124201,Перово
27244,Перово
21590,Черёмушки
25786,Обручевский
29605,Обручевский
24872,Коньково
26051,Таганский
22005,Таганский
150836,Таганский
25583,Таганский
27215,Таганский
156659,Таганский
29282,Кузьминки
21463,Кузьминки
21462,Кузьминки
25803,Выхино-Жулебино
22833,Сокол
22834,Сокол
28676,Сокол
22835,Сокол
71163,Сокол
156226,Покровское-Стрешнево
24332,Хамовники
25738,Хамовники
29027,Орехово-Борисово Южное
25003,Таганский
24992,Таганский
25447,Таганский
22029,Таганский
83940,Таганский
25090,Тверской
26044,Пресненский
74613,Пресненский
76765,Пресненский
89468,Пресненский
89471,Пресненский
22691,Аэропорт
25487,Марьина Роща
28692,Алексеевский
80355,Алексеевский
27703,Алексеевский
23307,Сокольники
154738,Сокольники
19821,Можайский
133485,Северное Тушино
27369,Северное Тушино
135306,Северное Тушино
21296,Северное Тушино
147931,Пресненский
25654,Пресненский
24159,Пресненский
148305,Мещанский
21745,Мещанский
27658,Богородское
76582,Тверской
71810,Тверской
120427,Тверской
25111,Тверской
27280,Хамовники
128456,Арбат
140347,Арбат
101981,Арбат
24529,Марьино
104191,Новокосино
22596,Тверской
133843,Тверской
120430,Тверской
22605,Тверской
141533,Тверской
129210,Тверской
142195,Тверской
157127,Тверской
82732,Тверской
60405,Тверской
69468,Тверской
25141,Тверской
25847,Тверской
59356,Тверской
127915,Тверской
69457,Тверской
25742,Тверской
157901,Тверской
71571,Тверской
68446,Тверской
79486,Тверской
98253,Тверской
58463,Тверской
106504,Тверской
127913,Тверской
157659,Тверской
127916,Тверской
129109,Тверской
144091,Тверской
124578,Тверской
157978,Тверской
23384,Лефортово
25124,Тверской
22943,Фили-Давыдково
82807,Пресненский
88212,Пресненский
24240,Пресненский
154373,Пресненский
149906,Пресненский
24242,Пресненский
21932,Пресненский
24215,Пресненский
124334,Орехово-Борисово Южное
155085,Орехово-Борисово Южное
150446,Красносельский
153023,Тропарёво-Никулино
27591,Преображенское
29535,Южное Медведково
70535,Зябликово
24129,Красносельский
68338,Якиманка
111819,Якиманка
22640,Якиманка
152060,Якиманка
26528,Якиманка
69382,Якиманка
156766,Якиманка
22635,Якиманка
26100,Якиманка
28683,Тимирязевский
21798,Тимирязевский
28573,Тимирязевский
25217,Тимирязевский
81174,Тимирязевский
20488,Тимирязевский
79550,Бескудниковский
26131,Бескудниковский
29487,Бескудниковский
151890,Чертаново Центральное
26091,Якиманка
144558,Хамовники
24323,Хамовники
144423,Ростокино
21268,Орехово-Борисово Южное
23996,Дорогомилово
